name;from;composed;file
###;FTL;;
Civil (Explore);Faster Than Light;Ben Prunty;civil_explore
###;Halo;;
Never Forget;Halo 3;Martin O'Donnell;never_forget
117;Halo 4;Neil Davidge;117
Time to Dance;Halo Reach;Martin O'Donnell;time_to_dance
Machines and Might;Halo Legends;Martin O'Donnell;machines_and_might
Sacred Icon Suite 2;Halo Legends;Martin O'Donnell;sacred_icon_suite_2
###;Jet Force Gemini;;
Character Select;Jet Force Gemini;Robin Beanland;character_select
###;Zelda;;
Main Theme;The Legend of Zelda;Koji Kondo;zelda_theme
Fairy Fountain;The Legend of Zelda;Koji Kondo;fairy_fountain
Hyrule Field;Ocarina of Time;Koji Kondo;hyrule_field
Credits;Twilight Princess;Koji Kondo;twilight_princess_credits
Ordon Goat Herding;Twilight Princess;Koji Kondo;ordon_goat_herding
Postman's Theme;Twilight Princess;Koji Kondo;postman_theme
Prince Ralis is Saved;Twilight Princess;Koji Kondo;prince_ralis_is_saved
Spirit's Theme;Twilight Princess;Koji Kondo;spirits_theme
STAR Game;Twilight Princess;Koji Kondo;star_game
###;Misc;;
Angry Birds Theme;Angry Birds;Ari Pulkkinen;angry_birds
Hero of Canton;Firefly;;hero_of_canton
One Stop;Microsoft;David Yackley;one_stop_first_movement
###;Clarinet;;
Bob-omb Battlefield;Super Mario 64;Koji Kondo;bob-omb_battlefield_clar
Cantina Band;Star Wars Episode IV;John Williams;cantina_band_clar
Overworld;Spirit Tracks;Koji Kondo;spirit_tracks_overworld_clar
